Bilibili视频上传服务启动成功!
服务地址: http://0.0.0.0:8080
上传目录: /Users/cong/Documents/七牛云/shareToBilibili/bilibili-uploader-complete/bilibili-uploader/uploads
API文档: http://0.0.0.0:8080/api/health

按 Ctrl+C 停止服务
[GIN] 2025/08/08 - 18:19:53 | 200 |     117.291µs |             ::1 | GET      "/api/health"
[GIN] 2025/08/08 - 18:19:55 | 200 |    2.642375ms |             ::1 | GET      "/"
[GIN] 2025/08/08 - 18:19:55 | 200 |     164.958µs |             ::1 | GET      "/assets/index-yD6dYIn3.css"
[GIN] 2025/08/08 - 18:19:55 | 200 |     412.792µs |             ::1 | GET      "/assets/index-DJEM3xnz.js"
[GIN] 2025/08/08 - 18:19:55 | 200 |     242.583µs |             ::1 | GET      "/.well-known/appspecific/com.chrome.devtools.json"
[GIN] 2025/08/08 - 18:19:56 | 304 |      95.291µs |             ::1 | GET      "/"
[GIN] 2025/08/08 - 18:19:56 | 304 |       90.25µs |             ::1 | GET      "/assets/index-DJEM3xnz.js"
[GIN] 2025/08/08 - 18:19:56 | 304 |      58.416µs |             ::1 | GET      "/assets/index-yD6dYIn3.css"
[GIN] 2025/08/08 - 18:19:56 | 304 |      73.125µs |             ::1 | GET      "/.well-known/appspecific/com.chrome.devtools.json"
[GIN] 2025/08/08 - 18:19:57 | 304 |     107.792µs |             ::1 | GET      "/"
[GIN] 2025/08/08 - 18:19:57 | 304 |      92.083µs |             ::1 | GET      "/assets/index-DJEM3xnz.js"
[GIN] 2025/08/08 - 18:19:57 | 304 |      53.208µs |             ::1 | GET      "/assets/index-yD6dYIn3.css"
[GIN] 2025/08/08 - 18:19:57 | 304 |     159.625µs |             ::1 | GET      "/.well-known/appspecific/com.chrome.devtools.json"
[GIN] 2025/08/08 - 18:19:58 | 304 |     194.334µs |             ::1 | GET      "/"
[GIN] 2025/08/08 - 18:19:58 | 304 |     164.625µs |             ::1 | GET      "/assets/index-yD6dYIn3.css"
[GIN] 2025/08/08 - 18:19:58 | 304 |      76.209µs |             ::1 | GET      "/assets/index-DJEM3xnz.js"
[GIN] 2025/08/08 - 18:19:58 | 304 |      42.708µs |             ::1 | GET      "/.well-known/appspecific/com.chrome.devtools.json"
[GIN] 2025/08/08 - 18:19:58 | 304 |      91.875µs |             ::1 | GET      "/"
[GIN] 2025/08/08 - 18:20:01 | 304 |     127.959µs |             ::1 | GET      "/"
[GIN] 2025/08/08 - 18:20:01 | 304 |      69.708µs |             ::1 | GET      "/assets/index-DJEM3xnz.js"
[GIN] 2025/08/08 - 18:20:01 | 304 |      38.542µs |             ::1 | GET      "/assets/index-yD6dYIn3.css"
[GIN] 2025/08/08 - 18:20:01 | 304 |     132.584µs |             ::1 | GET      "/.well-known/appspecific/com.chrome.devtools.json"
[GIN] 2025/08/08 - 18:20:01 | 304 |     181.708µs |             ::1 | GET      "/"
[GIN] 2025/08/08 - 18:20:01 | 304 |         147µs |             ::1 | GET      "/"
[GIN] 2025/08/08 - 18:20:02 | 304 |     165.708µs |             ::1 | GET      "/"
[GIN] 2025/08/08 - 18:20:02 | 304 |     173.875µs |             ::1 | GET      "/assets/index-DJEM3xnz.js"
[GIN] 2025/08/08 - 18:20:02 | 304 |      64.083µs |             ::1 | GET      "/assets/index-yD6dYIn3.css"
[GIN] 2025/08/08 - 18:20:02 | 304 |     130.291µs |             ::1 | GET      "/.well-known/appspecific/com.chrome.devtools.json"
[GIN] 2025/08/08 - 18:20:04 | 304 |         129µs |             ::1 | GET      "/"
[GIN] 2025/08/08 - 18:20:04 | 304 |     123.291µs |             ::1 | GET      "/assets/index-DJEM3xnz.js"
[GIN] 2025/08/08 - 18:20:04 | 304 |     156.042µs |             ::1 | GET      "/assets/index-yD6dYIn3.css"
[GIN] 2025/08/08 - 18:20:04 | 304 |      86.375µs |             ::1 | GET      "/.well-known/appspecific/com.chrome.devtools.json"
[GIN] 2025/08/08 - 18:20:05 | 304 |     191.458µs |             ::1 | GET      "/"
[GIN] 2025/08/08 - 18:21:39 | 304 |     138.584µs |             ::1 | GET      "/"
[GIN] 2025/08/08 - 18:21:39 | 304 |       90.75µs |             ::1 | GET      "/assets/index-DJEM3xnz.js"
[GIN] 2025/08/08 - 18:21:39 | 304 |      86.542µs |             ::1 | GET      "/assets/index-yD6dYIn3.css"
[GIN] 2025/08/08 - 18:21:39 | 304 |     103.333µs |             ::1 | GET      "/"
[GIN] 2025/08/08 - 18:21:40 | 304 |     192.917µs |             ::1 | GET      "/"
